title,author,user_rating,published_year,avg_rating,ratings_count
The Hating Game,"Thorne, Sally",4,2016,3.87,788365
"Red, White & Royal Blue","McQuiston, Casey",4,2019,4.06,1149918
"Darkdawn: As Cinzas da República(Crônicas da Quasinoite, #3)","Kristoff, Jay",5,2019,4.3,52517
"To Kill a Kingdom(Hundred Kingdoms, #1)","Christo, Alexandra",3,2018,3.72,199913
O Morro Dos Ventos Uivantes,"Brontë, Emily",4,1847,3.9,1929544
"The Hero of Ages(Mistborn, #3)","Sanderson, Brandon",5,2008,4.55,519972
"The Well of Ascension(Mistborn, #2)","Sanderson, Brandon",5,2007,4.38,575355
"Mistborn: The Final Empire(Mistborn, #1)","Sanderson, Brandon",5,2006,4.49,854148
"Wonder(Wonder, #1)","Palacio, R.J.",5,2012,4.36,1155213
"Cinder(The Lunar Chronicles, #1)","Meyer, Marissa",4,2012,4.13,980540
"Heartstopper: Volume Two(Heartstopper, #2)","Oseman, Alice",5,2019,4.52,548445
"Call Me By Your Name(Call Me By Your Name, #1)","Aciman, André",3,2007,4.1,555633
"The Summer Palace(Captive Prince Short Stories, #2)","Pacat, C.S.",5,2017,4.44,16593
"Stone Sentinel(Beautiful Monsters, #3.5)","Lane, Jex",5,2017,4.5,1743
"Aristotle and Dante Discover the Secrets of the Universe(Aristotle and Dante, #1)","Sáenz, Benjamin Alire",5,2012,4.3,652899
"Broken(Beautiful Monsters, #3)","Lane, Jex",5,2017,4.54,5813
"Sire(Beautiful Monsters, #2)","Lane, Jex",4,2016,4.48,6172
"Captive(Beautiful Monsters, #1)","Lane, Jex",3,2016,4.21,8986
"Kings Rising(Captive Prince, #3)","Pacat, C.S.",5,2016,4.43,73408
"Prince's Gambit(Captive Prince, #2)","Pacat, C.S.",5,2013,4.37,82005
"The King's Men(All for the Game, #3)","Sakavic, Nora",5,2014,4.58,73082
"The Raven King(All for the Game, #2)","Sakavic, Nora",4,2013,4.38,75481
"The Foxhole Court(All for the Game, #1)","Sakavic, Nora",3,2013,4.02,96209
"Godsgrave: O Espetáculo Sangrento(Crônicas da Quasinoite, #2)","Kristoff, Jay",5,2017,4.45,67800
"Muse of Nightmares(Strange the Dreamer, #2)","Taylor, Laini",4,2018,4.42,67512
"This Savage Song(Monsters of Verity, #1)","Schwab, Victoria",3,2016,4.03,108357
"A Court of Frost and Starlight(A Court of Thorns and Roses, #3.5)","Maas, Sarah J.",3,2019,3.73,1834899
Verity,"Hoover, Colleen",4,2018,4.3,3398485
From Lukov with Love,"Zapata, Mariana",4,2018,4.2,273279
O Conto da Aia,"Atwood, Margaret",4,1985,4.15,2255073
Tartarugas até lá embaixo,"Green, John",5,2017,3.88,616461
"P.S. I Still Love You(To All the Boys I've Loved Before, #2)","Han, Jenny",4,2015,4.01,405141
Animal Farm,"Orwell, George",5,1945,4.0,4256171
Autoboyography,"Lauren, Christina",4,2017,4.11,59630
"Mockingjay(The Hunger Games, #3)","Collins, Suzanne",4,2010,4.11,3494254
"Catching Fire(The Hunger Games, #2)","Collins, Suzanne",5,2009,4.34,3897786
"Thunderhead(Arc of a Scythe, #2)","Shusterman, Neal",4,2018,4.39,212937
"Scythe(Arc of a Scythe, #1)","Shusterman, Neal",3,2016,4.32,374545
"Breaking Dawn(The Twilight Saga, #4)","Meyer, Stephenie",3,2008,3.75,1810315
"Eclipse(The Twilight Saga, #3)","Meyer, Stephenie",2,2007,3.74,1924013
"New Moon(The Twilight Saga, #2)","Meyer, Stephenie",4,2006,3.61,2050381
The Lucky One,"Sparks, Nicholas",2,2007,4.13,370263
Dear John,"Sparks, Nicholas",2,2006,4.04,611288
The Coldest Girl in Coldtown,"Black, Holly",2,2013,3.83,75871
"Walking Disaster(Beautiful, #2)","McGuire, Jamie",1,2013,4.14,202652
"Beautiful Disaster(Beautiful, #1)","McGuire, Jamie",1,2011,4.0,701766
Fight Club,"Palahniuk, Chuck",5,1996,4.18,622780
We Were Liars,"Lockhart, E.",4,2014,3.66,1241411
Ugly Love,"Hoover, Colleen",1,2014,4.01,2157806
"Inferno(Robert Langdon, #4)","Brown, Dan",3,2013,3.9,575601
Playlist for the Dead,"Falkoff, Michelle",3,2015,3.28,14783
"The Fever Code(The Maze Runner, #0.5)","Dashner, James",3,2016,4.03,76916
"The Kill Order(The Maze Runner, #0.4)","Dashner, James",3,2012,3.71,249253
"The Death Cure(The Maze Runner, #3)","Dashner, James",3,2011,3.78,480617
"The Scorch Trials(The Maze Runner, #2)","Dashner, James",3,2010,3.9,619045
"The Maze Runner(The Maze Runner, #1)","Dashner, James",3,2009,4.05,1617701
"Champion(Legend, #3)","Lu, Marie",4,2013,4.31,227784
"Prodigy(Legend, #2)","Lu, Marie",4,2013,4.22,274657
"Legend(Legend, #1)","Lu, Marie",4,2011,4.15,551086
"The Evolution of Mara Dyer(Mara Dyer, #2)","Hodkin, Michelle",4,2012,4.24,101621
"The Unbecoming of Mara Dyer(Mara Dyer, #1)","Hodkin, Michelle",4,2011,4.02,188599
"A Dance with Dragons(A Song of Ice and Fire, #5)","Martin, George R.R.",4,2011,4.34,717494
"A Feast for Crows(A Song of Ice and Fire, #4)","Martin, George R.R.",4,2005,4.17,768817
